date,a2c,ddpg,ppo,td3,sac,mvo,dji
2021-05-18,1299892.4304231417,1392905.478421322,1229289.5905264022,1332638.3355961575,1403514.0487974891,1305955.3121420774,1323516.5812609287
2021-05-19,1292873.6257661593,1386316.5405589258,1222814.197055638,1328072.707174374,1393486.9765547523,1305577.700423151,1317116.7670487661
2021-05-20,1297219.1957620394,1392921.0761576807,1234601.5008621986,1333475.4166775479,1399944.3357237587,1320526.4676236901,1324425.9398678842
2021-05-21,1300521.9966081392,1401196.5734034693,1239279.0680170904,1340264.5736103787,1409221.9266814003,1313459.843561246,1329232.5930153488
2021-05-24,1304326.6247209322,1410651.3950472986,1250199.4742090118,1347572.4461155667,1416510.6854628334,1324537.589729564,1336467.845346804
2021-05-25,1293216.3566583407,1409805.6046038782,1249880.5865986755,1349773.0270443691,1416380.1147841224,1326671.3484996122,1333300.95201088
2021-05-26,1293710.1685441744,1414146.4076472437,1247869.1535310333,1352032.883688046,1418237.9865111122,1326441.1406005146,1333712.9031474646
2021-05-27,1296277.8170198214,1421808.3111315882,1255354.5806636093,1362081.2928677334,1428927.0151518593,1318437.8579725767,1339211.2517000195
2021-05-28,1296949.8953622591,1426205.3203097498,1253984.378788533,1367904.6260967983,1427634.6954420814,1321431.6015114062,1341729.1019040218
2021-06-01,1299573.8198159945,1431339.915883175,1256470.866313794,1369630.9818936123,1433676.0778502235,1313428.591684084,1343512.756217214
